Most common page simhash values.

zetaweb=# select count(*), simhash_value from site_info group by simhash_value order by count(*) desc limit 500;
  count  |                                                          simhash_value                                                           
    2507 | 11010000111101010010011000100000101001110001010001010000100010011101000100110010000000100011001100011111110000110110010100100100
    2488 | 01000000100100101000100000000110001100111100101000110011010101010111000111011000010000010000110001011001100110000000001010000001
    2481 | 10011010110100101000100011000000011111110001001111000100100111110000001111000101010101001111101110111011010111101111011011111010
    2449 | 11011110011000100000101100111000001001100010100101000011110111111110111101100101010000001001101111100010100100110001001111011111
    2435 | 10010111111000110000100001100111101101100010001111110101101110110001001101010000001010111010110110101110010111111100010001111111
    2399 | 00011110101001100111110011110011000111110010111111001011111011001010101000000000010011100011100001111111000011001010001101010000
    2399 | 00000010000010010000001000000001001100000001000000000000001000000000000010000001000100100001001010100011000001000010000000010010
    2312 | 11010001100000101010111100011110001101111010010010101010000110101000001110011100000011101111101111001010011111011001101101010100
    2307 | 11100011101101001001100001110011011110101001000100000100111011101000101110010101111111011111111110010001111101101101001011111110
    2287 | 11010001010011110011110111010010001001100000010100011000011011011001100101001001001111001011110010011111100100000100110010010011
    2279 | 11010001010011110011110111010010011000100000010100011000011111011001101101001001001111001011110010011111100100000100010010011011
    2273 | 01000110101000100000110001100000010000100010110100100011000101001100101101001101000011000011100100111110100011110110101011111010
    2219 | 01000100010010111100101100111010001111111100111110000011100010010010100101101100010010010100011001111111001001111110000111010110
    2214 | 10110010111101000001010101100100001001110000001001010110100010011000101101010000010001001011100010110110111011101101111101101000
    2208 | 00001001101001101001100100000111111111001000000111011101100001111001100011000001010111001001000011111101110000110100111000000010
    2198 | 11010001110000101100111000010011101001111101100110110000010010011100100111111100110001010001110100110111011100010001000000010010
    2171 | 01011011110001110000011001100010000000111011100100101110011110001100101101011101000001101111010110011000001011110001001011110110
    2171 | 10011111001111101010011010110101101000110010010100101111001110011010001010000100001001000110100100011011010101010001111011010111
    2159 | 00010010100010111001110000101011111100110010001011110110110110010000101110000110010010001111100010111111100111111000011001111000
    2129 | 11000101110010101101010100110111011111100100011101101010000001110000000011011101010101111000010010110011011001100100100011101100
    2114 | 01100111110000010000000000110010110000110100001111101100101111011001000111110010100100001111011001011010010011000111111011001000
    2089 | 11010001010011110011110111010010011001100000010100011000011011011001100101001001001111001011110010011111100100000100110010011011
    2087 | 00000000100100000000000101110000101000000011000000001001000001110010010000011101011001000000110000111010000000100000000000000001
    2085 | 10110010111101000001010101100100001001110000001001010110100010011000101101010000011011001011100010110110011011101101111101111000
    2032 | 01010110111010110000011011110000000000100010110101100101000111001100101101010101010011001011100100111010100011110110101011101010
    2021 | 01011100110111100010100001110000010100010010101110001101111100000011001101010000100000001111100000101001010000101101001001011001
    2017 | 10001100110110101010010010110100100010100010001010010111100101111001001110000000010111001100000001110000101000110000101001000011
    1988 | 10111010101010100101010001111010011000100011110100011111101111110000100111010110011010001011100111010001010110110001111000010101
    1975 | 10111001111001010111011011011100101100111011010011100010000110011100010101110110010001110101100110110100000000001101001100110101
    1974 | 00011011110110010000101001101100001000100100000100010101110011101000011001000111011001010101001010110000100111110000100101110011
    1967 | 00001000101101000011010100011001101001111110001101101110111001001100011011000101011000010101110100010110011000111011110011111101
    1964 | 00010010100000101000010101100110101101100001101000010111000100110011111100010000010111101101100010101110010101111101010110011001
    1951 | 00010010100011001001010001101010101101110001000010000111011010000010011101000000000011011010100000101110111011100100000011100000
    1918 | 00110000110001000001000010110001000010101010000100011110011001011011001100000101010011001101001111011001111101111000101110010000
    1870 | 11000111101100111101101111000000101011101110101010101101000011111010001011011110100001000001010110000101101011101010101011001101
    1857 | 01111000010011001000101100010001101011011110110000001001100011010111101011111100011100111111010100101000001011001110001101000100
    1844 | 00010101000100010000010101100110101001110001000001111101011110110010011100001000001011110101000100001100110101100000100101011111
    1814 | 10100110011001011001111111100100011101110110001000000111100111000011000010100010111000000011010010000000010110111000101000001010
    1813 | 00101100011101010111001011000000101010011101111000010100001010111111111000001000000101100111001100110011101111110110011110011111
    1765 | 00010010110010111000110000101011011100110010001011110110110010011000101110010110011000001111111010111111100111111000011001111001
    1763 | 00110011100100010110110101101101001000111101011010111100100110000100011100010000110011111101110000010111010111001001011101101001
    1754 | 10011000010000000000101001100110000111010010000100100011010111010000101100010100011000011000110001110011001111000000101000010010
    1745 | 10110010101010111001011111101000101111010100000000101110100010010010001000100100110000001011100010101010111111111011011010001100
    1737 | 10001010011101100000110001101100010000110011001010000011011110100000101100001001111011000101101010111000000111100001111001110000
    1735 | 10110010111101000001010101100100001001110000001001010110100010011000101101010000011001001011100010110110111011101101111101101000
    1693 | 11010001000011110011110111010010011001100000010100011000011011011001100101001001001111001011110010011111100100000100110010011011
    1690 | 00011111000000110100010101110011011110101000111110101100011001001000101111111010111000101010100011110011000011000110101011100111
